Sentence,Organizations
 Piramal Glass Ceylon PLC,reported as,at
 Piramal Glass Ceylon PLC,reported with,a turnover
PAT,a turnover of,"$ 8,532 million"
PAT,a turnover as,against
PAT,a turnover in,the previous year
the Company,mitigate in,its existing markets
the Company,mitigate due,to
the Company,mitigate due,the pandemic situation
Limited,entered into,a Share Sale and Purchase Agreement
Limited,the sale of,its entire shareholding
Limited,the sale to,PGP Glass
Limited,entered into,a Share Sale and Purchase Agreement
Limited,the sale of,its entire shareholding
Limited,the sale to,PGP Glass
Limited,entered into,a Share Sale and Purchase Agreement
Limited,the sale of,its entire shareholding
Limited,the sale to,PGP Glass
the Parliament,passed with,amendments
the Government,making as,such
the Government,making as,the new Inland Revenue Act
the US Congress,pass by,the end of Saturday
the Hang Seng,was by,1.6%
the Hang Seng,was by,1.6%
 The tech-heavy Nasdaq,ended for,a second day
(NOCPCO,Head of,National Operations Centre for Prevention of Covid-19
(NOCPCO,Head of,National Operations Centre for Prevention of Covid-19
(NOCPCO,Head of,National Operations Centre for Prevention of Covid-19
(NOCPCO,Head of,National Operations Centre for Prevention of Covid-19
The Sri Lanka Army,transport to,prioritised areas
The Sri Lanka Army,transport to,prioritised areas
the Ministry of Health in Colombo,the main warehouse in,several trucks
The State Pharmaceutical Corporation,place within,the next two days
The State Pharmaceutical Corporation,place with,the Serum Institute
The State Pharmaceutical Corporation,place for,three million doses
The State Pharmaceutical Corporation,place within,the next two days
The State Pharmaceutical Corporation,place with,the Serum Institute
The State Pharmaceutical Corporation,place for,three million doses
Apple Daily,warned about,its coverage
(TAMAP,conducted in,Colombo
(TAMAP,conducted in,Colombo
(TAMAP,conducted in,Colombo
FAO Representative,‘Digital Agriculture Strategy for,e-Agriculture
the National Agriculture Information and Communication Centre,representative at,the workshop
 The Central Bank,raised by,points
 The Central Bank,raised to,5.00 percent
 The Central Bank,raised to,addressing
the Standing Deposit Facility Rate,raised by,points
the Standing Deposit Facility Rate,raised to,5.00 percent
the Standing Deposit Facility Rate,raised to,addressing
 The Central Bank,raised by,points
 The Central Bank,raised to,5.00 percent
 The Central Bank,raised to,addressing
the Standing Deposit Facility Rate,raised by,points
the Standing Deposit Facility Rate,raised to,5.00 percent
the Standing Deposit Facility Rate,raised to,addressing
 The Central Bank,raised by,points
 The Central Bank,raised to,5.00 percent
 The Central Bank,raised to,addressing
the Standing Deposit Facility Rate,raised by,points
the Standing Deposit Facility Rate,raised to,5.00 percent
the Standing Deposit Facility Rate,raised to,addressing
 The Central Bank,raised by,points
 The Central Bank,raised to,5.00 percent
 The Central Bank,raised to,addressing
the Standing Deposit Facility Rate,raised by,points
the Standing Deposit Facility Rate,raised to,5.00 percent
the Standing Deposit Facility Rate,raised to,addressing
Price to Cash Flow Ratio,Dividend Yield Price to Cash Flow Ratio,(P/CF
Price to Cash Flow Ratio,Dividend Yield Price to Cash Flow Ratio,)
Price to Cash Flow Ratio,Dividend Yield for,the share
the CSE,commence at,10.30 am
the CSE,commence at,10.30 am
Vallibel One,incorporated in,2007
the Foreign Ministry,facilitated on,Friday
the Foreign Ministry,facilitated along,with
the Foreign Ministry,facilitated on,Friday
the Foreign Ministry,facilitated along,with
the Foreign Ministry,facilitated on,Friday
the Foreign Ministry,facilitated along,with
the Foreign Ministry,facilitated on,Friday
the Foreign Ministry,facilitated along,with
the Foreign Ministry,facilitated on,Friday
the Foreign Ministry,facilitated along,with
the Foreign Ministry,facilitated on,Friday
the Foreign Ministry,facilitated along,with
Asia Capital,maintain according,to
Asia Capital,maintain as,per
Asia Capital,maintain according,to
Asia Capital,maintain as,per
Asia Capital,maintain according,to
Asia Capital,maintain as,per
2020 Asia Capital,stood As, 
2020 Asia Capital,stood As,at
2020 Asia Capital,stood at,"154,136,943.85"
2020 Asia Capital,stood with,a Public Holding Percentage
The Ceylon Chamber of Commerce,showcase from,across
The Ceylon Chamber of Commerce,showcase from,across
The Ceylon Chamber of Commerce,showcase from,across
The Ceylon Chamber of Commerce,showcase from,across
State,Minister of,Money
Parliament,In on,Tuesday
Parliament,In on,Tuesday
the CSE,commence In, 
the CSE,commence In,this connection
the CSE,commence In, 
the CSE,commence In,this connection
the CSE,commence In, 
the CSE,commence In,this connection
 The CSE,offers through,versatile listing platforms
 The CSE,offers through,versatile listing platforms
 The CSE,offers through,versatile listing platforms
the CSE,open for,trading
the CSE,open despite,the tough times
the CSE,open for,trading
the CSE,open despite,the tough times
the CSE,kept in,good and bad times
Parliament,convened after,June 2
The SEC,granted to,following
The SEC,granted to,the following initiatives
the Multi Currency Board,Extend to,local companies
the Multi Currency Board,Extend to,local companies
the Multi Currency Board,Extend to,local companies
Board the Issue,listed on,which
 The Empower board,is for,nascent businesses
the Diri Savi,are for,mid to larger established companies
 The Empower board,is for,nascent businesses
the Diri Savi,are for,mid to larger established companies
VFM, Value for,money
 The 2021 Budget,hailed as,an evenly poised budget
The Budget,presented at,a time
The CSE,introduced as,a new investment product
The CSE,introduced as,a new investment product
The CSE,introduced as,a new investment product
the much required Thriposha,provide to,pregnant mothers
the Central Bank,predicts in,the same year
 JAT Holdings Limited Initial Public Offering,oversubscribed on,the initial day
 JAT Holdings Limited Initial Public Offering,oversubscribed on,the initial day
 JAT Holdings Limited Initial Public Offering,oversubscribed on,the initial day
JAT Holdings Limited,welcome as,listing
JAT Holdings Limited,welcome as,listing
JAT Holdings Limited,welcome as,listing
the CSE,establishing as,a facilitator
the SEC,commenced with,various stakeholders
the SEC,commenced since,January
(CSE,members of,the SEC
(CSE,members of,the SEC
(CSE,members of,the SEC
Senior Unsecured Listed Redeemable Rated Debentures,issue at,an Issue Price
Senior Unsecured Listed Redeemable Rated Debentures,issue at,an Issue Price
Senior Unsecured Listed Redeemable Rated Debentures,issue at,an Issue Price
CEB,raise with,an option
CEBis,rated as,AA-(lka
CEBis,rated as,AA-(lka
CEBis,rated as,AA-(lka
the Colombo Stock Exchange,recorded during,the month
the Colombo Stock Exchange,recorded during,the month
the Central Bank,was With,increased net inflows
the Sri Lanka Foreign Employment Bureau,restricted on,14 March
 The CBSL,spearhead by,guiding
HNB Executive Director,served as,the Session Chairman
HNB Executive Director,served as,the Session Chairman
HNB Executive Director,served as,the Session Chairman
HNB Executive Director,served as,the Session Chairman
HNB Executive Director,served as,the Session Chairman
HNB,takes Given,this pressing need
HNB,takes in,contributing
HNB,takes in,as
HNB,takes in,’s
HNB,takes in,commercial banking sector
HNB,takes at,this crucial gathering
the MD,headquartered in,Austria
the MD,headquartered in,Austria
the MD,headquartered in,Austria
the MD,headquartered in,Austria
the MD,headquartered in,Austria
the MD,headquartered in,Austria
the MD,headquartered in,Austria
the MD,headquartered in,Austria
the Financing of Terrorism (CFT,the Financing of Terrorism (CFT in,normal
the Asian Bankers Association,been Since, 
the Asian Bankers Association,been Since,1981
HNB,is With, 
HNB,is With,254 customer centres
Seylan Bank Head,announced From,  
Seylan Bank Head,announced From,left
Seylan Bank Head,announced From,  
Seylan Bank Head,announced From,left
Seylan Bank Head,announced From,  
Seylan Bank Head,announced From,left
Seylan Bank Head,announced From,  
Seylan Bank Head,announced From,left
 Seylan Bank,partnered with,SUPERBOX
 Seylan Bank,partnered with,SUPERBOX
"the Regulator, Insurance Regulatory Commission of Sri Lanka",are above,well
"the Regulator, Insurance Regulatory Commission of Sri Lanka",are above,the minimum requirements
"the Regulator, Insurance Regulatory Commission of Sri Lanka",are above,well
"the Regulator, Insurance Regulatory Commission of Sri Lanka",are above,the minimum requirements
the Merchant Bank of Sri Lanka,decided Under, 
the Merchant Bank of Sri Lanka,decided Under,the advice
the Life Insurance,comes under,the holding company
the Life Insurance,comes as,a fully owned subsidiary
the Life Insurance,comes under,the holding company
the Life Insurance,comes as,a fully owned subsidiary
the Life Insurance,comes under,the holding company
the Life Insurance,comes as,a fully owned subsidiary
Co-operative Insurance Company,establish as,the holding company
the General Insurance Business,spin to,a different entity
 Moody,raised on,global reinsurers
Shehan Silva representing Janashakthi Foundation,Shehan Silva representing Janashakthi Foundation As,a forerunner
Janashakthi Insurance PLC,plan By,Nishel Fernando Janashakthi Life Director/CEO Ravi Liyanage Q
the Janashakthi Foundation,drives As, 
the Janashakthi Foundation,drives As,such
  Union Assurance PLC,been at,the forefront
  Union Assurance PLC,been at,the forefront
"Furthermore, Union Assurance",disrupted by,adding
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 45.3 billion
a Capital Adequacy Ratio (CAR,a Life Fund of,$ 45.3 billion
Union Assurance,continues With, 
Union Assurance,continues With,76 branches
the US Federal Reserve,go on,unwinding
the US Federal Reserve,go on,unwinding
ComBank Flash,upgraded In, 
ComBank Flash,upgraded In,2020
ComBank Flash,upgraded with,revolutionary features
Sterling,slipped on,Monday
 Both HNBA,built on,strong fundamentals
the ‘National Insurer Financial Strength Rating’,upgrading to,A+
 Both HNBA,built on,strong fundamentals
the ‘National Insurer Financial Strength Rating’,upgrading to,A+
 Both HNBA,built on,strong fundamentals
the ‘National Insurer Financial Strength Rating’,upgrading to,A+
